"","V1"
"1",33
"2",4
"3",21
"4",32
"5",47
"6",3
"7",32
"8",32
"9",46
"10",37
"11",32
"12",17
"13",17
"14",4
"15",49
"16",32
"17",27
"18",49
"19",50
"20",17
"21",32
"22",12
"23",17
"24",32
"25",32
"26",32
"27",4
"28",4
"29",40
"30",17
"31",14
"32",21
"33",32
"34",32
"35",32
"36",32
"37",32
"38",21
"39",32
"40",22
"41",32
"42",4
"43",32
"44",21
"45",32
"46",35
"47",49
"48",32
"49",32
"50",32
"51",37
"52",32
"53",32
"54",21
"55",37
"56",7
"57",35
"58",3
"59",14
"60",21
"61",32
"62",32
"63",40
"64",21
"65",32
"66",32
"67",3
"68",32
"69",12
"70",40
"71",32
"72",40
"73",17
"74",37
"75",32
"76",49
"77",37
"78",37
"79",32
"80",37
"81",7
"82",32
"83",17
"84",3
"85",17
"86",32
"87",2
"88",35
"89",32
"90",37
"91",32
"92",32
"93",35
"94",33
"95",32
"96",17
"97",32
"98",4
"99",32
"100",32
"101",37
"102",32
"103",35
"104",17
"105",37
"106",32
"107",37
"108",37
"109",17
"110",40
"111",35
"112",32
"113",32
"114",32
"115",37
"116",37
"117",35
"118",32
"119",21
"120",35
"121",3
"122",35
"123",35
"124",35
"125",3
"126",32
"127",24
"128",32
"129",32
"130",17
"131",32
"132",1
"133",35
"134",49
"135",32
"136",49
"137",4
"138",35
"139",17
"140",17
"141",35
"142",32
"143",32
"144",17
"145",2
"146",4
"147",32
"148",3
"149",17
"150",37
"151",32
"152",35
"153",17
"154",40
"155",32
"156",2
"157",35
"158",2
"159",3
"160",24
"161",3
"162",3
"163",3
"164",32
"165",37
"166",17
"167",2
"168",3
"169",32
"170",2
"171",32
"172",12
"173",17
"174",8
"175",14
"176",2
"177",2
"178",32
"179",2
"180",17
"181",17
"182",17
"183",17
"184",17
"185",17
"186",38
"187",36
"188",47
"189",17
"190",17
"191",37
"192",14
"193",32
"194",17
"195",12
"196",26
"197",26
"198",17
"199",26
"200",17
"201",49
"202",4
"203",8
"204",32
"205",38
"206",33
"207",32
"208",32
"209",40
"210",32
"211",4
"212",26
"213",26
"214",35
"215",26
"216",26
"217",26
"218",28
"219",7
"220",26
"221",26
"222",26
"223",14
"224",3
"225",3
"226",26
"227",12
"228",26
"229",26
"230",21
"231",3
"232",3
"233",12
"234",12
"235",38
"236",12
"237",32
"238",32
"239",26
"240",12
"241",3
"242",38
"243",38
"244",26
"245",26
"246",26
"247",32
"248",32
"249",12
"250",8
"251",38
"252",38
"253",24
"254",37
"255",32
"256",32
"257",32
"258",32
"259",32
"260",32
"261",12
"262",12
"263",38
"264",3
"265",3
"266",3
"267",38
"268",29
"269",25
"270",21
"271",12
"272",30
"273",32
"274",4
"275",12
"276",17
"277",32
"278",12
"279",35
"280",3
"281",38
"282",32
"283",17
"284",32
"285",38
"286",32
"287",21
"288",32
"289",17
"290",17
"291",4
"292",21
"293",12
"294",47
"295",32
"296",17
"297",17
"298",32
"299",38
"300",3
"301",3
"302",17
"303",17
"304",21
"305",47
"306",6
"307",12
"308",4
"309",14
"310",21
"311",30
"312",12
"313",14
"314",4
"315",32
"316",30
"317",8
"318",24
"319",37
"320",24
"321",24
"322",33
"323",37
"324",30
"325",26
"326",30
"327",4
"328",12
"329",17
"330",12
"331",17
"332",32
"333",12
"334",30
"335",21
"336",49
"337",30
"338",44
"339",3
"340",30
"341",35
"342",21
"343",4
"344",3
"345",32
"346",8
"347",37
"348",4
"349",3
"350",37
"351",21
"352",32
"353",14
"354",32
"355",14
"356",32
"357",14
"358",35
"359",49
"360",4
"361",14
"362",17
"363",49
"364",19
"365",3
"366",29
"367",32
"368",32
"369",3
"370",35
"371",14
"372",3
"373",32
"374",4
"375",4
"376",32
"377",32
"378",4
"379",14
"380",32
"381",8
"382",17
"383",14
"384",32
"385",17
"386",32
"387",4
"388",41
"389",40
"390",41
"391",32
"392",28
"393",32
"394",32
"395",49
"396",47
"397",32
"398",40
"399",32
"400",4
"401",50
"402",32
"403",28
"404",28
"405",4
"406",14
"407",49
"408",32
"409",32
"410",14
"411",14
"412",49
"413",32
"414",10
"415",41
"416",50
"417",8
"418",32
"419",32
"420",32
"421",4
"422",41
"423",4
"424",32
"425",32
"426",12
"427",25
"428",1
"429",28
"430",4
"431",28
"432",32
"433",28
"434",32
"435",14
"436",25
"437",14
"438",25
"439",37
"440",4
"441",14
"442",4
"443",32
"444",4
"445",28
"446",25
"447",10
"448",32
"449",29
"450",28
"451",32
"452",4
"453",32
"454",17
"455",37
"456",32
"457",32
"458",28
"459",32
"460",41
"461",4
"462",28
"463",28
"464",35
"465",28
"466",20
"467",20
"468",28
"469",28
"470",25
"471",28
"472",32
"473",37
"474",12
"475",12
"476",37
"477",50
"478",4
"479",35
"480",12
"481",17
"482",3
"483",32
"484",28
"485",28
"486",28
"487",50
"488",20
"489",35
"490",12
"491",20
"492",14
"493",12
"494",28
"495",12
"496",35
"497",28
"498",40
"499",3
"500",32
"501",32
"502",12
"503",32
"504",32
"505",14
"506",20
"507",28
"508",28
"509",35
"510",17
"511",28
"512",28
"513",8
"514",28
"515",4
"516",28
"517",28
"518",12
"519",28
"520",32
"521",17
"522",3
"523",32
"524",12
"525",28
"526",25
"527",28
"528",28
"529",28
"530",22
"531",28
"532",12
"533",12
"534",20
"535",12
"536",42
"537",12
"538",4
"539",28
"540",25
"541",14
"542",32
"543",8
"544",20
"545",14
"546",12
"547",4
"548",17
"549",17
"550",50
"551",32
"552",35
"553",12
"554",4
"555",8
"556",28
"557",32
"558",14
"559",4
"560",14
"561",12
"562",37
"563",14
"564",35
"565",42
"566",32
"567",25
"568",17
"569",4
"570",12
"571",22
"572",12
"573",14
"574",32
"575",12
"576",42
"577",21
"578",22
"579",35
"580",14
"581",32
"582",50
"583",32
"584",32
"585",46
"586",14
"587",42
"588",48
"589",12
"590",32
"591",32
"592",35
"593",5
"594",4
"595",17
"596",35
"597",3
"598",3
"599",32
"600",14
"601",12
"602",42
"603",42
"604",32
"605",32
"606",35
"607",32
"608",45
"609",4
"610",32
"611",32
"612",40
"613",25
"614",3
"615",35
"616",32
"617",32
"618",4
"619",25
"620",32
"621",32
"622",32
"623",4
"624",4
"625",40
"626",40
"627",4
"628",32
"629",46
"630",22
"631",3
"632",12
"633",25
"634",25
"635",25
"636",22
"637",1
"638",40
"639",25
"640",22
"641",48
"642",12
"643",37
"644",21
"645",32
"646",32
"647",32
"648",32
"649",7
"650",47
"651",17
"652",32
"653",14
"654",32
"655",40
"656",12
"657",47
"658",12
"659",47
"660",3
"661",3
"662",21
"663",22
"664",32
"665",12
"666",21
"667",22
"668",29
"669",48
"670",1
"671",35
"672",21
"673",20
"674",25
"675",12
"676",32
"677",4
"678",1
"679",32
"680",40
"681",35
"682",40
"683",22
"684",17
"685",12
"686",12
"687",12
"688",12
"689",32
"690",4
"691",21
"692",21
"693",21
"694",21
"695",21
"696",35
"697",4
"698",21
"699",32
"700",4
"701",17
"702",1
"703",32
"704",4
"705",32
"706",35
"707",12
"708",12
"709",17
"710",21
"711",47
"712",12
"713",12
"714",21
"715",47
"716",21
"717",34
"718",4
"719",45
"720",21
"721",35
"722",32
"723",19
"724",4
"725",12
"726",12
"727",12
"728",4
"729",11
"730",48
"731",12
"732",27
"733",12
"734",4
"735",21
"736",35
"737",19
"738",22
"739",49
"740",3
"741",32
"742",32
"743",32
"744",14
"745",25
"746",29
"747",47
"748",32
"749",33
"750",9
"751",49
"752",22
"753",35
"754",32
"755",32
"756",47
"757",12
"758",27
"759",47
"760",17
"761",32
"762",21
"763",32
"764",21
"765",4
"766",5
"767",28
"768",17
"769",32
"770",34
"771",3
"772",12
"773",32
"774",49
"775",32
"776",32
"777",32
"778",21
"779",47
"780",32
"781",27
"782",12
"783",4
"784",4
"785",4
"786",32
"787",32
"788",12
"789",29
"790",3
"791",12
"792",4
"793",12
"794",49
"795",32
"796",25
"797",24
"798",25
"799",49
"800",12
"801",32
"802",21
"803",40
"804",22
"805",38
"806",21
"807",32
"808",17
"809",12
"810",12
"811",32
"812",19
"813",12
"814",4
"815",50
"816",4
"817",21
"818",4
"819",40
"820",32
"821",4
"822",4
"823",35
"824",32
"825",32
"826",38
"827",32
"828",3
"829",12
"830",12
"831",21
"832",4
"833",12
"834",33
"835",32
"836",22
"837",32
"838",13
"839",32
"840",32
"841",12
"842",26
"843",21
"844",22
"845",32
"846",32
"847",21
"848",13
"849",32
"850",13
"851",32
"852",12
"853",40
"854",35
"855",17
"856",32
"857",32
"858",32
"859",13
"860",25
"861",12
"862",13
"863",47
"864",32
"865",32
"866",13
"867",13
"868",32
"869",33
"870",29
"871",3
"872",17
"873",4
"874",35
"875",2
"876",21
"877",13
"878",32
"879",12
"880",2
"881",33
"882",32
"883",21
"884",17
"885",22
"886",32
"887",24
"888",35
"889",4
"890",32
"891",32
"892",32
"893",35
"894",37
"895",3
"896",4
"897",32
"898",12
"899",32
"900",32
"901",4
"902",32
"903",32
"904",12
"905",12
"906",12
"907",35
"908",12
"909",35
"910",12
"911",32
"912",14
"913",45
"914",34
"915",35
"916",14
"917",14
"918",32
"919",49
"920",12
"921",12
"922",32
"923",32
"924",4
"925",32
"926",32
"927",35
"928",43
"929",49
"930",32
"931",29
"932",29
"933",15
"934",32
"935",4
"936",32
"937",35
"938",35
"939",32
"940",3
"941",50
"942",32
"943",32
"944",35
"945",21
"946",48
"947",12
"948",35
"949",21
"950",35
"951",32
"952",35
"953",32
"954",4
"955",12
"956",32
"957",35
"958",3
"959",35
"960",29
"961",32
"962",44
"963",32
"964",35
"965",12
"966",12
"967",4
"968",35
"969",32
"970",21
"971",32
"972",3
"973",21
"974",32
"975",35
"976",35
"977",35
"978",35
"979",13
"980",29
"981",35
"982",32
"983",32
"984",32
"985",32
"986",12
"987",35
"988",32
"989",49
"990",35
"991",35
"992",35
"993",35
"994",35
"995",35
"996",27
"997",35
"998",29
"999",4
"1000",32
"1001",47
"1002",49
"1003",44
"1004",32
"1005",35
"1006",32
"1007",32
"1008",39
"1009",39
"1010",32
"1011",32
"1012",49
"1013",32
"1014",3
"1015",35
"1016",11
"1017",24
"1018",29
"1019",32
"1020",35
"1021",49
"1022",29
"1023",13
"1024",47
"1025",18
"1026",29
"1027",12
"1028",13
"1029",32
"1030",4
"1031",46
"1032",4
"1033",32
"1034",32
"1035",32
"1036",32
"1037",29
"1038",47
"1039",35
"1040",17
"1041",13
"1042",3
"1043",4
"1044",32
"1045",3
"1046",22
"1047",21
"1048",49
"1049",39
"1050",32
"1051",49
"1052",32
"1053",29
"1054",4
"1055",40
"1056",32
"1057",21
"1058",17
"1059",21
"1060",17
"1061",32
"1062",11
"1063",32
"1064",14
"1065",32
"1066",47
"1067",35
"1068",35
"1069",12
"1070",32
"1071",8
"1072",14
"1073",32
"1074",1
"1075",32
"1076",32
"1077",32
"1078",18
"1079",32
"1080",32
"1081",33
"1082",12
"1083",18
"1084",21
"1085",21
"1086",18
"1087",44
"1088",32
"1089",37
"1090",21
"1091",13
"1092",49
"1093",13
"1094",3
"1095",35
"1096",32
"1097",32
"1098",4
"1099",17
"1100",29
"1101",7
"1102",4
"1103",12
"1104",47
"1105",22
"1106",29
"1107",21
"1108",37
"1109",21
"1110",32
"1111",29
"1112",17
"1113",35
"1114",4
"1115",12
"1116",32
"1117",35
"1118",37
"1119",13
"1120",32
"1121",37
"1122",32
"1123",29
"1124",35
"1125",32
"1126",12
"1127",50
"1128",32
"1129",32
"1130",32
"1131",13
"1132",35
"1133",3
"1134",29
"1135",4
"1136",44
"1137",47
"1138",32
"1139",13
"1140",21
"1141",4
"1142",17
"1143",32
"1144",24
"1145",32
"1146",3
"1147",47
"1148",3
"1149",3
"1150",32
"1151",49
"1152",22
"1153",21
"1154",32
"1155",3
"1156",37
"1157",29
"1158",47
"1159",3
"1160",36
"1161",46
"1162",12
"1163",32
"1164",3
"1165",34
"1166",22
"1167",32
"1168",46
"1169",35
"1170",35
"1171",37
"1172",21
"1173",4
"1174",22
"1175",17
"1176",3
"1177",32
"1178",22
"1179",23
"1180",32
"1181",32
"1182",32
"1183",35
"1184",32
"1185",32
"1186",35
"1187",40
"1188",32
"1189",32
"1190",32
"1191",35
"1192",35
"1193",46
"1194",32
"1195",3
"1196",32
"1197",35
"1198",4
"1199",32
"1200",9
"1201",17
"1202",35
"1203",21
"1204",4
"1205",12
"1206",32
"1207",46
"1208",32
"1209",50
"1210",32
"1211",32
"1212",35
"1213",35
"1214",32
"1215",37
"1216",3
"1217",32
"1218",46
"1219",46
"1220",32
"1221",32
"1222",32
"1223",3
"1224",3
"1225",32
"1226",32
"1227",22
"1228",35
"1229",32
"1230",21
"1231",32
"1232",41
"1233",30
"1234",32
"1235",35
"1236",21
"1237",32
"1238",33
"1239",12
"1240",49
"1241",13
"1242",22
"1243",35
"1244",29
"1245",32
"1246",32
"1247",4
"1248",32
"1249",35
"1250",49
"1251",32
"1252",24
"1253",37
"1254",32
"1255",32
"1256",32
"1257",46
"1258",3
"1259",21
"1260",32
"1261",29
"1262",40
"1263",17
"1264",4
"1265",32
"1266",31
"1267",32
"1268",32
"1269",35
"1270",14
"1271",32
"1272",41
"1273",17
"1274",20
"1275",15
"1276",37
"1277",31
"1278",31
"1279",37
"1280",4
"1281",29
"1282",4
"1283",13
"1284",37
"1285",32
"1286",47
"1287",32
"1288",37
"1289",31
"1290",37
"1291",35
"1292",29
"1293",12
"1294",32
"1295",17
"1296",32
"1297",32
"1298",32
"1299",20
"1300",49
"1301",32
"1302",32
"1303",32
"1304",32
"1305",19
"1306",35
"1307",37
