"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"Manuela Schwesig will sich weiter in Bundespolitik einmischen",0.0062111801242236,0.0062111801242236,0.0062111801242236,0.0062111801242236,0.0062111801242236,0.0062111801242236,0.0062111801242236,0.0186335403726708,0.0124223602484472,0.0124223602484472,0.0372670807453416,0.0186335403726708,0.0124223602484472,0.0062111801242236,0.0062111801242236,0.0124223602484472,0.031055900621118,0.0124223602484472,0.0124223602484472,0.0496894409937888,0.0062111801242236,0.0496894409937888,0.0248447204968944,0.0062111801242236,0.0062111801242236,0.0062111801242236,0.0124223602484472,0.0434782608695652,0.0062111801242236,0.0062111801242236,0.0062111801242236,0.105590062111801,0.130434782608696,0.0993788819875776,0.031055900621118,0.0124223602484472,0.0124223602484472,0.0062111801242236,0.0062111801242236,0.031055900621118,0.0062111801242236,0.0062111801242236,0.0124223602484472,0.0062111801242236,0.031055900621118,0.0062111801242236,0.0186335403726708,0.0062111801242236,0.0062111801242236,0.0062111801242236
"Bundestagswahl im News-Ticker: SPD legt erstmals in Umfrage wieder zu - FOCUS Online",0.00555555555555556,0.00555555555555556,0.0166666666666667,0.372222222222222,0.00555555555555556,0.0111111111111111,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.0166666666666667,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.0166666666666667,0.00555555555555556,0.0111111111111111,0.0166666666666667,0.00555555555555556,0.0111111111111111,0.0166666666666667,0.0166666666666667,0.0111111111111111,0.133333333333333,0.00555555555555556,0.127777777777778,0.00555555555555556,0.00555555555555556,0.0166666666666667,0.0111111111111111,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.00555555555555556
"Eurokrise: Auf der Suche nach einem Griechenland-Kompromiss",0.00974025974025974,0.00324675324675325,0.00649350649350649,0.012987012987013,0.00974025974025974,0.00324675324675325,0.00974025974025974,0.00974025974025974,0.00324675324675325,0.00649350649350649,0.00649350649350649,0.0162337662337662,0.00324675324675325,0.0292207792207792,0.00649350649350649,0.00324675324675325,0.025974025974026,0.012987012987013,0.00324675324675325,0.00324675324675325,0.386363636363636,0.00324675324675325,0.00324675324675325,0.00974025974025974,0.00324675324675325,0.00324675324675325,0.051948051948052,0.00324675324675325,0.00324675324675325,0.0194805194805195,0.00324675324675325,0.224025974025974,0.00649350649350649,0.0227272727272727,0.00974025974025974,0.00324675324675325,0.00324675324675325,0.00324675324675325,0.00974025974025974,0.00324675324675325,0.00324675324675325,0.00324675324675325,0.00324675324675325,0.00324675324675325,0.00324675324675325,0.00324675324675325,0.00324675324675325,0.00649350649350649,0.00649350649350649,0.00324675324675325
"SPD: Bundestagswahl: Kandidat Schulz stellt Pläne zu Innerer Sicherheit vor - FOCUS Online",0.0045662100456621,0.00228310502283105,0.00684931506849315,0.0342465753424658,0.0182648401826484,0.00228310502283105,0.00228310502283105,0.00228310502283105,0.0045662100456621,0.00228310502283105,0.00684931506849315,0.0045662100456621,0.00228310502283105,0.00228310502283105,0.0045662100456621,0.0045662100456621,0.116438356164384,0.0045662100456621,0.00228310502283105,0.00228310502283105,0.0616438356164384,0.00228310502283105,0.00228310502283105,0.00228310502283105,0.00228310502283105,0.0045662100456621,0.00228310502283105,0.0388127853881279,0.0136986301369863,0.00228310502283105,0.00228310502283105,0.285388127853881,0.00228310502283105,0.00228310502283105,0.164383561643836,0.00228310502283105,0.00684931506849315,0.0159817351598174,0.0045662100456621,0.0045662100456621,0.00684931506849315,0.0091324200913242,0.00228310502283105,0.00228310502283105,0.00228310502283105,0.0958904109589041,0.0091324200913242,0.0045662100456621,0.0045662100456621,0.0091324200913242
"Bayrischer Innenminister will keine Altersgrenze mehr - »Verfassungsschutz soll Kinder beobachten - Politik Inland - Bild.de",0.00632911392405063,0.0126582278481013,0.0126582278481013,0.00632911392405063,0.0189873417721519,0.00632911392405063,0.00632911392405063,0.00632911392405063,0.0126582278481013,0.00632911392405063,0.00632911392405063,0.0189873417721519,0.00632911392405063,0.00632911392405063,0.00632911392405063,0.0126582278481013,0.0759493670886076,0.00632911392405063,0.00632911392405063,0.00632911392405063,0.0189873417721519,0.0569620253164557,0.00632911392405063,0.00632911392405063,0.0189873417721519,0.00632911392405063,0.00632911392405063,0.0126582278481013,0.00632911392405063,0.00632911392405063,0.0253164556962025,0.0822784810126582,0.0189873417721519,0.00632911392405063,0.00632911392405063,0.00632911392405063,0.00632911392405063,0.0759493670886076,0.0126582278481013,0.0949367088607595,0.0316455696202532,0.0126582278481013,0.00632911392405063,0.00632911392405063,0.00632911392405063,0.00632911392405063,0.170886075949367,0.00632911392405063,0.0189873417721519,0.00632911392405063
"Widerstand der AfD-Basis gegen Landeschefin Petry wächst - Video - FOCUS Online",0.00806451612903226,0.00403225806451613,0.459677419354839,0.0282258064516129,0.00403225806451613,0.0120967741935484,0.00806451612903226,0.00403225806451613,0.00806451612903226,0.00403225806451613,0.00403225806451613,0.00806451612903226,0.0120967741935484,0.00403225806451613,0.00403225806451613,0.00403225806451613,0.00403225806451613,0.0120967741935484,0.00403225806451613,0.00403225806451613,0.00403225806451613,0.0564516129032258,0.00403225806451613,0.00403225806451613,0.00806451612903226,0.00806451612903226,0.00403225806451613,0.00403225806451613,0.00806451612903226,0.00403225806451613,0.00403225806451613,0.125,0.0403225806451613,0.00403225806451613,0.00806451612903226,0.0161290322580645,0.0120967741935484,0.00806451612903226,0.00403225806451613,0.0120967741935484,0.00403225806451613,0.00403225806451613,0.00403225806451613,0.00403225806451613,0.00403225806451613,0.0120967741935484,0.00806451612903226,0.00403225806451613,0.00806451612903226,0.00806451612903226
"Machtkämpfe, Agonie, Realitätsverlust - NRW-SPD nach historischer Niederlage: „Die lecken immer noch ihre Wunden“",0.0027027027027027,0.00675675675675676,0.0283783783783784,0.0175675675675676,0.00405405405405405,0.00675675675675676,0.00135135135135135,0.0027027027027027,0.00135135135135135,0.00540540540540541,0.00945945945945946,0.00675675675675676,0.0121621621621622,0.00135135135135135,0.00135135135135135,0.00135135135135135,0.00135135135135135,0.183783783783784,0.00135135135135135,0.00675675675675676,0.0027027027027027,0.0108108108108108,0.00945945945945946,0.00135135135135135,0.00135135135135135,0.00135135135135135,0.0027027027027027,0.0202702702702703,0.00540540540540541,0.0027027027027027,0.00540540540540541,0.236486486486486,0.144594594594595,0.00675675675675676,0.0527027027027027,0.00540540540540541,0.125675675675676,0.00135135135135135,0.00135135135135135,0.0027027027027027,0.00135135135135135,0.00135135135135135,0.0027027027027027,0.00405405405405405,0.00540540540540541,0.027027027027027,0.00405405405405405,0.00135135135135135,0.00810810810810811,0.00135135135135135
"So kommentiert Deutschland: Anschlag in Afghanistan - ""Preis für die Oberknalltüte des Tages geht an Thomas de Maizière""",0.00330578512396694,0.00165289256198347,0.00330578512396694,0.0115702479338843,0.00330578512396694,0.00330578512396694,0.00165289256198347,0.00330578512396694,0.00165289256198347,0.00330578512396694,0.00330578512396694,0.00330578512396694,0.00165289256198347,0.00330578512396694,0.00661157024793388,0.00165289256198347,0.00495867768595041,0.00165289256198347,0.00165289256198347,0.00495867768595041,0.00330578512396694,0.00495867768595041,0.00495867768595041,0.0132231404958678,0.00165289256198347,0.00165289256198347,0.00330578512396694,0.00495867768595041,0.00165289256198347,0.00165289256198347,0.0181818181818182,0.347107438016529,0.00991735537190083,0.00165289256198347,0.00495867768595041,0.00330578512396694,0.00165289256198347,0.00165289256198347,0.00165289256198347,0.11404958677686,0.00826446280991736,0.00165289256198347,0.00330578512396694,0.00330578512396694,0.00661157024793388,0.340495867768595,0.00165289256198347,0.00495867768595041,0.00991735537190083,0.00495867768595041
"Kurswechsel: Bundesregierung schränkt Abschiebungen nach Afghanistan ein",0.00420168067226891,0.0126050420168067,0.00420168067226891,0.00840336134453781,0.00420168067226891,0.00840336134453781,0.00840336134453781,0.00420168067226891,0.00420168067226891,0.00420168067226891,0.00420168067226891,0.0168067226890756,0.0126050420168067,0.00420168067226891,0.0126050420168067,0.00420168067226891,0.00840336134453781,0.00420168067226891,0.00420168067226891,0.046218487394958,0.0210084033613445,0.00840336134453781,0.00420168067226891,0.0168067226890756,0.00840336134453781,0.00420168067226891,0.0126050420168067,0.00420168067226891,0.00840336134453781,0.0126050420168067,0.0126050420168067,0.126050420168067,0.0210084033613445,0.00420168067226891,0.0882352941176471,0.00420168067226891,0.0252100840336134,0.00840336134453781,0.00840336134453781,0.0798319327731092,0.0126050420168067,0.00840336134453781,0.00420168067226891,0.00420168067226891,0.0126050420168067,0.273109243697479,0.0126050420168067,0.00420168067226891,0.00420168067226891,0.00420168067226891
"Im FOCUS-Online-Check - 10-Punkte-Plan für Bundestagswahl: So wollen die Grünen ihren Absturz verhindern",0.00179694519317161,0.0125786163522013,0.000898472596585804,0.0808625336927224,0.000898472596585804,0.000898472596585804,0.000898472596585804,0.00179694519317161,0.00179694519317161,0.000898472596585804,0.00269541778975741,0.00179694519317161,0.000898472596585804,0.0179694519317161,0.000898472596585804,0.000898472596585804,0.129380053908356,0.000898472596585804,0.00179694519317161,0.00179694519317161,0.0341419586702606,0.00359389038634322,0.000898472596585804,0.000898472596585804,0.00179694519317161,0.000898472596585804,0.000898472596585804,0.00449236298292902,0.00988319856244385,0.00449236298292902,0.00179694519317161,0.294699011680144,0.00179694519317161,0.00269541778975741,0.000898472596585804,0.00269541778975741,0.316262353998203,0.0143755615453729,0.00359389038634322,0.000898472596585804,0.000898472596585804,0.00359389038634322,0.000898472596585804,0.00179694519317161,0.00179694519317161,0.0170709793351303,0.00179694519317161,0.000898472596585804,0.00449236298292902,0.00269541778975741
